0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:11 +0200] "GET /biblioteka/F_personel.jsp HTTP/1.1" 200 5057
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:15 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 12457
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:15 +0200] "GET /biblioteka/t%C5%82o_log_rej.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:22 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:22 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:22 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:22 +0200] "GET /biblioteka/G_login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:26 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:26 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:26 +0200] "GET /biblioteka/H_rejestracja.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:27 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:31 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:31 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:51 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:51 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:13:59:51 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:00:40 +0200] "POST /biblioteka/register HTTP/1.1" 200 3192
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:00:40 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:00:40 +0200] "GET /biblioteka/G_login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:00:40 +0200] "GET /biblioteka/t%C5%82o_log_rej.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:00:58 +0200] "POST /biblioteka/login HTTP/1.1" 200 12456
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:01:05 +0200] "GET /biblioteka/B_O%20bibiotece.jsp HTTP/1.1" 200 7619
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:01:06 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 22164
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:01:30 +0200] "GET /biblioteka/E_S%C5%82ownik%20poj%C4%99%C4%87.jsp HTTP/1.1" 200 17699
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:01:51 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 12456
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:01:57 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:01:57 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:01:57 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:01:57 +0200] "GET /biblioteka/G_login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:01:57 +0200] "GET /biblioteka/t%C5%82o_log_rej.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:05:49 +0200] "GET /biblioteka/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:05:49 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:05:49 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:05:49 +0200] "GET /biblioteka/G_login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:05:49 +0200] "GET /biblioteka/t%C5%82o_log_rej.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:06:04 +0200] "POST /biblioteka/login HTTP/1.1" 200 12457
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:06:23 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:06:23 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:06:23 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:06:26 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:06:26 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:06:26 +0200] "GET /biblioteka/H_rejestracja.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:06:26 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:06:50 +0200] "POST /biblioteka/register HTTP/1.1" 200 3192
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:06:50 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:07:05 +0200] "POST /biblioteka/login HTTP/1.1" 200 12449
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:07:13 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:07:13 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:14:07:13 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:16:53 +0200] "GET /biblioteka/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:16:53 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:16:53 +0200] "GET /biblioteka/G_login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:16:53 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:16:53 +0200] "GET /biblioteka/t%C5%82o_log_rej.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:18:56 +0200] "GET /biblioteka/H_rejestracja.jsp HTTP/1.1" 200 2511
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:18:56 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:18:56 +0200] "GET /biblioteka/alert/dist/sweetalert.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:18:56 +0200] "GET /biblioteka/H_rejestracja.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:19:01 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:19:01 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:19:19 +0200] "POST /biblioteka/login HTTP/1.1" 200 12457
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:19:42 +0200] "GET /biblioteka/B_O%20bibiotece.jsp HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:19:45 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 22331
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:19:47 +0200] "GET /biblioteka/Dodaj_ksiazke.jsp HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:19:57 +0200] "GET /biblioteka/E_S%C5%82ownik%20poj%C4%99%C4%87.jsp HTTP/1.1" 200 17700
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:20:01 +0200] "GET /biblioteka/F_personel.jsp HTTP/1.1" 200 5057
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:20:03 +0200] "GET /biblioteka/A_strona-gl.jsp HTTP/1.1" 200 12457
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:20:14 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:20:14 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:20:14 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:20:31 +0200] "POST /biblioteka/login HTTP/1.1" 200 12449
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:20:44 +0200] "GET /biblioteka/C_Kategorie%20ksi%C4%85%C5%BCek.jsp HTTP/1.1" 200 22157
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:20:54 +0200] "GET /biblioteka/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:20:54 +0200] "GET /biblioteka/G_login.jsp HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:20:54 +0200] "GET /biblioteka/login.js HTTP/1.1" 404 774
